name,icao,score
Don Mueang International Airport,VTBD,4.529855152519075
Changsha Huanghua International Airport,ZGHA,4.504730732580906
Mohammed V International Airport,GMMN,4.479264061447118
Baltimore/Washington International Thurgood Marshall Airport,KBWI,4.475432206356116
Fairbanks International Airport,PAFA,4.444202029324655
Wuhan Tianhe International Airport,ZHHH,4.440741015605669
Geneva Cointrin International Airport,LSGG,4.392931271696582
Viracopos International Airport,SBKP,4.391458914127856
Tocumen International Airport,MPTO,4.36570783010849
Lyon Saint-Exupéry Airport,LFLL,4.2668408779995834
Chicago Midway International Airport,KMDW,4.21271378748384
Portland International Airport,KPDX,4.210381137791105
Gran Canaria Airport,GCLP,4.191587743685844
Cairns International Airport,YBCS,4.154881909611772
Bauerfield International Airport,NVVV,4.106483118438116
Hamburg Airport,EDDH,4.101680515504871
St Louis Lambert International Airport,KSTL,4.09360973044553
Koltsovo Airport,USSS,4.07792766533814
Tampa International Airport,KTPA,4.074179544881384
Marseille Provence Airport,LFML,4.063583840696075
Netaji Subhash Chandra Bose International Airport,VECC,4.059944394107627
Tenerife South Airport,GCTS,4.023816700033984
Zhengzhou Xinzheng International Airport,ZHCC,4.020121162487461
Ben Gurion International Airport,LLBG,4.002513936099666
Kuwait International Airport,OKBK,3.9982511487502204
Honiara International Airport,AGGH,3.993759375808368
Houari Boumediene Airport,DAAG,3.908928710473781
Luis Munoz Marin International Airport,TJSJ,3.860140726104433
Nanjing Lukou Airport,ZSNJ,3.8300596043107205
Bandaranaike International Colombo Airport,VCBI,3.7765804497180957
Mashhad International Airport,OIMM,3.7701233018812825
Hasanuddin International Airport,WAAA,3.7504596963900934
San Diego International Airport,KSAN,3.7328864102048507
Adelaide International Airport,YPAD,3.7309819379540903
Nice-Côte d'Azur Airport,LFMN,3.7240044871237186
Sharjah International Airport,OMSJ,3.708810197721804
Ralph Wien Memorial Airport,PAOT,3.701778002898599
Edmonton International Airport,CYEG,3.701708596515881
Louis Armstrong New Orleans International Airport,KMSY,3.6944686222415135
Ministro Pistarini International Airport,SAEZ,3.6701784656680516
Yellowknife Airport,CYZF,3.6355001145630266
Taiping Airport,ZYHB,3.6171620928570705
Muscat International Airport,OOMS,3.604664990866804
Kempegowda International Airport,VOBL,3.589209948588791
Deputado Luiz Eduardo Magalhães International Airport,SBSV,3.5735593626987527
Birmingham International Airport,EGBB,3.5295451792435384
Vnukovo International Airport,UUWW,3.5260993004132244
Stuttgart Airport,EDDS,3.523175299092618
Cologne Bonn Airport,EDDK,3.5188854142780395
Zhoushuizi Airport,ZYTL,3.514790760691635
Nome Airport,PAOM,3.5089364046556404
Queen Alia International Airport,OJAI,3.486520605789682
Henri Coandă International Airport,LROP,3.4775837509236287
Antalya International Airport,LTAI,3.475404249770855
Noi Bai International Airport,VVNB,3.4729070254453136
Tianjin Binhai International Airport,ZBTJ,3.4474192456287893
Nouméa Magenta Airport,NWWM,3.445819535124775
Chennai International Airport,VOMM,3.416664966309415
Quatro de Fevereiro Airport,FNLU,3.382096228328097
Nadi International Airport,NFFN,3.376903047814584
Hazrat Shahjalal International Airport,VGZR,3.3512422057048354
Lynden Pindling International Airport,MYNN,3.34944425582079
Edinburgh Airport,EGPH,3.3390537319129394
Taoxian Airport,ZYTX,3.3207668368733754
Tancredo Neves International Airport,SBCF,3.3107945666706864
Tolmachevo Airport,UNNT,3.3033172118080456
Venice Marco Polo Airport,LIPZ,3.30183740164618
Glasgow International Airport,EGPF,3.2949897379712114
Warsaw Chopin Airport,EPWA,3.2715624040026094
Sioux Lookout Airport,CYXL,3.268416416341097
Longdongbao Airport,ZUGY,3.2414883048137364
Don Miguel Hidalgo Y Costilla International Airport,MMGL,3.231181634424696
Yaoqiang Airport,ZSJN,3.147279382635243
Fuzhou Changle International Airport,ZSFZ,3.138092230867393
Boryspil International Airport,UKBB,3.1379556418398202
Francisco de Sá Carneiro Airport,LPPR,3.1337668111322445
Juanda International Airport,WARR,3.1249542113129842
Darwin International Airport,YPDN,3.102665006719035
New Chitose Airport,RJCC,3.095636316172285
Congonhas Airport,SBSP,3.044871398816292
Tunis Carthage International Airport,DTTA,3.034462383634123
Malta International Airport,LMML,3.022349486948259
London Luton Airport,EGGW,3.0193892014168093
Christchurch International Airport,NZCH,3.0143489308640143
Murtala Muhammed International Airport,DNMM,3.007874997700875
Wellington International Airport,NZWN,2.9997244681855983
Jinnah International Airport,OPKC,2.9923555185436097
Winnipeg / James Armstrong Richardson International Airport,CYWG,2.9921323013792134
King Fahd International Airport,OEDF,2.986316642589172
Cleveland Hopkins International Airport,KCLE,2.9704856305487106
Catania-Fontanarossa Airport,LICC,2.942376976912635
Fukuoka Airport,RJFF,2.9248866767702477
Lanzarote Airport,GCRR,2.9229222317154417
Nairobi Wilson Airport,HKNW,2.9021317321865694
Salgado Filho Airport,SBPA,2.8891160281363764
Tashkent International Airport,UTTT,2.872199426370119
Riga International Airport,EVRA,2.8668936604731865
Heraklion International Nikos Kazantzakis Airport,LGIR,2.842100876863821
Eduardo Gomes International Airport,SBEG,2.8410568433643872
Chubu Centrair International Airport,RJGG,2.8391156446665264
Bahrain International Airport,OBBI,2.8374241219907357
Yangon International Airport,VYYY,2.8091080661964356
Faro Airport,LPFR,2.7819961132393054
Marechal Rondon Airport,SBCY,2.7596244462229516
Afonso Pena Airport,SBCT,2.7550739559672723
Almaty Airport,UAAA,2.74640790561178
Nanning Wuxu Airport,ZGNN,2.729641022969325
Beijing Nanyuan Airport,ZBNY,2.693062421568756
Léopold Sédar Senghor International Airport,GOOY,2.681328074173512
Bristol Airport,EGGD,2.67636284797621
Tribhuvan International Airport,VNKT,2.67174579333552
Mariscal Sucre International Airport,SEQM,2.665683049094086
Juneau International Airport,PAJN,2.657238558369534
General Mariano Escobedo International Airport,MMMY,2.656615248405525
Nashville International Airport,KBNA,2.652070772926732
Kotoka International Airport,DGAA,2.649730400716054
Ibiza Airport,LEIB,2.642267390431549
Rankin Inlet Airport,CYRT,2.6408886573938104
Esenboğa International Airport,LTAC,2.6270875229234494
Toulouse-Blagnac Airport,LFBO,2.6267729786705094
Mactan Cebu International Airport,RPVM,2.621110762953729
Larnaca International Airport,LCLK,2.6207124844588345
Il Caravaggio International Airport,LIME,2.6176601470812377
Iqaluit Airport,CYFB,2.616554866716017
Budapest Liszt Ferenc International Airport,LHBP,2.6149714791690446
Cape Town International Airport,FACT,2.590018260020358
Diagoras Airport,LGRP,2.5649200762492392
East Midlands Airport,EGNX,2.5566521824282837
Taiyuan Wusu Airport,ZBYN,2.5550884713246256
Austin Bergstrom International Airport,KAUS,2.5486697937417495
Kansas City International Airport,KMCI,2.515417008402443
Brussels South Charleroi Airport,EBCI,2.504763554571318
Orlando Sanford International Airport,KSFB,2.4949733675425447
Haikou Meilan International Airport,ZJHK,2.4909259945596895
Thessaloniki Macedonia International Airport,LGTS,2.489038885991128
Nantes Atlantique Airport,LFRS,2.4834041915001075
Sanya Phoenix International Airport,ZJSY,2.4797272237101833
Raleigh Durham International Airport,KRDU,2.4724010176294806
Baita International Airport,ZBHH,2.467072727338335
Guilin Liangjiang International Airport,ZGKL,2.4659583639302145
Ndjili International Airport,FZAA,2.4584315623937356
Kota Kinabalu International Airport,WBKK,2.43238524898342
Benazir Bhutto International Airport,OPRN,2.429322623189192
Bergen Airport Flesland,ENBR,2.426185589381635
Gimhae International Airport,RKPK,2.421259044437144
Prince Mohammad Bin Abdulaziz Airport,OEMA,2.4210491028056675
Fuerteventura Airport,GCFV,2.40105523251778
Belgrade Nikola Tesla Airport,LYBE,2.3991723411440797
EuroAirport Basel-Mulhouse-Freiburg Airport,LFSB,2.396361268526644
Cincinnati Northern Kentucky International Airport,KCVG,2.381835255318078
Halifax / Stanfield International Airport,CYHZ,2.372832497320585
El Alto International Airport,SLLP,2.3706975277821427
Bologna Guglielmo Marconi Airport,LIPE,2.3578568219891167
Phuket International Airport,VTSP,2.34627364054859
Douala International Airport,FKKD,2.3439812077821265
Jeju International Airport,RKPC,2.342455496689212
José Joaquín de Olmedo International Airport,SEGU,2.330530166425232
Val de Cans/Júlio Cezar Ribeiro International Airport,SBBE,2.3033665356422333
Princess Juliana International Airport,TNCM,2.2941986404376813
Punta Cana International Airport,MDPC,2.293250774850099
Naha Airport,ROAH,2.270073593281861
"Tromsø Airport,",ENTC,2.254764292378094
Aniak Airport,PANI,2.246789711236719
Santo Pekoa International Airport,NVSS,2.2362918869047697
Kenneth Kaunda International Airport Lusaka,FLLS,2.2336536953109474
Astana International Airport,UACC,2.22279510137926
Nnamdi Azikiwe International Airport,DNAA,2.2203652645297094
William P Hobby Airport,KHOU,2.2165001079966804
Berlin-Schönefeld Airport,EDDB,2.2052451711524186
Pittsburgh International Airport,KPIT,2.203853122596249
Inuvik Mike Zubko Airport,CYEV,2.203165848234417
Lanzhou Zhongchuan Airport,ZLLL,2.1898727319019646
Ivato Airport,FMMI,2.180108958826054
Valencia Airport,LEVC,2.176133977297138
Adnan Menderes International Airport,LTBJ,2.1723365150558513
London City Airport,EGLC,2.1481117475347773
San Antonio International Airport,KSAT,2.143130385334649
Macau International Airport,VMMC,2.1391312890846876
Heydar Aliyev International Airport,UBBB,2.122408140337083
Beirut Rafic Hariri International Airport,OLBA,2.116268714778704
Newcastle Airport,EGNT,2.1148225668952016
Indianapolis International Airport,KIND,2.1063576228494925
Irkutsk Airport,UIII,2.0996277397686876
Miri Airport,WBGR,2.0972667743139004
Leeds Bradford Airport,EGNM,2.093973069079746
Ottawa Macdonald-Cartier International Airport,CYOW,2.0929335078593567
Port Bouet Airport,DIAP,2.080970071909948
Sept-Îles Airport,CYZV,2.0749723234214104
Ningbo Lishe International Airport,ZSNB,2.0638771831577176
Pisa International Airport,LIRP,2.0630913870161725
Nanchang Changbei International Airport,ZSCN,2.0614772808005055
Shijiazhuang Daguocun International Airport,ZBSJ,2.0530834132638995
Santos Dumont Airport,SBRJ,2.05102640458352
Alama Iqbal International Airport,OPLA,2.044230173389957
Menara Airport,GMMX,2.0406141070380572
Cochin International Airport,VOCI,2.037249425046447
Osaka International Airport,RJOO,2.0321604708231424
Naples International Airport,LIRN,2.026676368490748
Shiraz Shahid Dastghaib International Airport,OISS,2.00515986217926
Metropolitan Oakland International Airport,KOAK,2.004384620545547
Imam Khomeini International Airport,OIIE,1.995351783493726
Trondheim Airport Værnes,ENVA,1.994844925976936
Southwest Florida International Airport,KRSW,1.9919664802628527
John Glenn Columbus International Airport,KCMH,1.9866581768016165
Dushanbe Airport,UTDD,1.9864977346603236
Khartoum International Airport,HSSS,1.9853022607108923
Julius Nyerere International Airport,HTDA,1.9840063948537927
Norman Y. Mineta San Jose International Airport,KSJC,1.983352457005297
Chiang Mai International Airport,VTCC,1.9818725275800524
Tripoli International Airport,HLLT,1.9791505819946729
Thunder Bay Airport,CYQT,1.9704625617327074
Sir Seewoosagur Ramgoolam International Airport,FIMP,1.9643570443376615
Hannover Airport,EDDV,1.9616977122315749
Sentani International Airport,WAJJ,1.9570606389609766
José Martí International Airport,MUHA,1.9511719407823964
Monseñor Óscar Arnulfo Romero International Airport,MSLP,1.9456541687872921
Wenzhou Longwan International Airport,ZSWZ,1.93765081366741
Yakutsk Airport,UEEE,1.920836650670528
Guararapes - Gilberto Freyre International Airport,SBRF,1.9151228484828275
Ketchikan International Airport,PAKT,1.9038194708434717
Nausori International Airport,NFNA,1.9019714400029102
Queen Beatrix International Airport,TNCA,1.8999092929775516
Luxembourg-Findel International Airport,ELLX,1.8986246863401406
Goose Bay Airport,CYYR,1.886053386852363
Eindhoven Airport,EHEH,1.8806258951153427
Memphis International Airport,KMEM,1.8805556230018103
Sultan Aji Muhamad Sulaiman Airport,WALL,1.8729987166023105
General Mitchell International Airport,KMKE,1.8633642822323189
Phoenix-Mesa-Gateway Airport,KIWA,1.855346268072178
General Abelardo L. Rodríguez International Airport,MMTJ,1.8507193188069528
Unalaska Airport,PADU,1.8445425214324187
Quebec Jean Lesage International Airport,CYQB,1.8394865810583103
Sana'a International Airport,OYSN,1.8391909421562325
Kahului Airport,PHOG,1.8369345730858515
Yemelyanovo Airport,UNKL,1.8366724884083379
Alfonso Bonilla Aragon International Airport,SKCL,1.835522795007168
Bordeaux-Mérignac Airport,LFBD,1.8332043712947304
Rarotonga International Airport,NCRG,1.8327363170872377
Sacramento International Airport,KSMF,1.8275958777689032
Pinto Martins International Airport,SBFZ,1.814706055844977
Hefei Luogang International Airport,ZSOF,1.804883296609012
Sofia Airport,LBSF,1.804772107383001
Godthaab / Nuuk Airport,BGGH,1.7979045148134163
Kaohsiung International Airport,RCKH,1.7924243745083943
Las Américas International Airport,MDSD,1.7882216704416638
Malé International Airport,VRMM,1.7864293878372013
Stockholm-Bromma Airport,ESSB,1.7760417550800864
Robert Gabriel Mugabe International Airport,FVHA,1.756588890577897
Penang International Airport,WMKP,1.754419960445041
Gothenburg-Landvetter Airport,ESGG,1.752148008422306
Kuujjuaq Airport,CYVP,1.7502041825558798
Falcone–Borsellino Airport,LICJ,1.748754048323043
Stavanger Airport Sola,ENZV,1.7470177792189339
Red Lake Airport,CYRL,1.7452079522236938
Kigali International Airport,HRYR,1.7333044164300375
Tefé Airport,SBTF,1.7293318041486796
Paris Beauvais Tillé Airport,LFOB,1.7291231782029157
Vilnius International Airport,EYVI,1.7255963490519681
Cadjehoun Airport,DBBB,1.7148744989418052
Sevilla Airport,LEZL,1.7006139267483793
Entebbe International Airport,HUEN,1.6997594896335726
Bilbao Airport,LEBB,1.6993419317585854
Los Cabos International Airport,MMSD,1.6967781454938569
Viru Viru International Airport,SLVR,1.6922073142304543
